URL,category_code,category_description,date_added,source,notes
abclider.com,PORN,Pornography,2014-04-15,citizenlab,
betway.com,GMB,Gambling,2014-04-15,citizenlab,
diplomaticsecondpassport.com,COMM,E-commerce,2014-04-15,citizenlab,
fei.ru,PORN,Pornography,2014-04-15,citizenlab,
go-krit.com,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,
ipvnews.org,NEWS,News Media,2014-04-15,citizenlab,"blocked, critical of Putin"
jahforum.org,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,canabis focus
looo.ch,CULTR,Culture,2014-04-15,citizenlab,
newsland.com,NEWS,News Media,2014-04-15,citizenlab,
queerussia.info,PUBH,Public Health,2014-04-15,citizenlab,original content changed to public health
redenginejeans.com,COMM,E-commerce,2014-04-15,citizenlab,
rutor.org,FILE,File-sharing,2014-04-15,citizenlab,
avtoazov.com.ua,COMM,E-commerce,2014-04-15,citizenlab,site for cars
casinoking.com,GMB,Gambling,2014-04-15,citizenlab,
dishisvobodno.ru,ENV,Environment,2014-04-15,citizenlab,
hateit.ru,HATE,Hate Speech,2014-04-15,citizenlab,
islamdin.com,HATE,Hate Speech,2014-04-15,citizenlab,blocked
kasparov.ru,NEWS,News Media,2014-04-15,citizenlab,site of Kremlin's political opponent
narkop.com,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,
ng.ru,NEWS,News Media,2014-04-15,citizenlab,
seedjah.com,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,
weedy.be,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,
daymohk.org,MILX,Terrorism and Militants,2014-04-15,citizenlab,"blocked, no NILX anylonger - now hosting platform, monitor"
haamash.wordpress.com,MILX,Terrorism and Militants,2014-04-15,citizenlab,"outdated but blocked, monitor"
humanrights-ru.livejournal.com,POLR,Political Criticism,2014-04-15,citizenlab,
limonka.nbp-info.com,POLR,Political Criticism,2014-04-15,citizenlab,"blocked, redirects to dead site, monitor"
milli-mejlis.blogspot.com,HUMR,Human Rights Issues,2014-04-15,citizenlab,
slon.ru,NEWS,News Media,2014-04-15,citizenlab,"domain nredirects to another respurce, not blocked keep monitoring"
vk.comminitrue,NEWS,News Media,2014-04-15,citizenlab,"critical blog, outdated"
chechentimes.net,COMM,E-commerce,2014-04-15,citizenlab,
gulag.ipvnews.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,"blocked, dead site, monitor"
islamdin.biz,HATE,Hate Speech,2014-04-15,citizenlab,dead website but still blocked
mashina.org,NEWS,News Media,2014-04-15,citizenlab,"projects temporarily stopped, keep monitoring"
minjust.net,NEWS,News Media,2014-04-15,citizenlab,dead site but still blocked
national-socialist.tk,HATE,Hate Speech,2014-04-15,citizenlab,"blocked, temporaly unavailable"
owl.ru,HUMR,Human Rights Issues,2014-04-15,citizenlab,"outdated but generates some traffic, monitor"
resistance88.com,HUMR,Human Rights Issues,2014-04-15,citizenlab,"blocked, temporarily closed for maintenance, monitor"
reuters.comarticle20100321russia-olympics-protest-iduslde62k02s20100321,NEWS,News Media,2014-04-15,citizenlab,"2010 Sochi Olympics article, generates traffic, monitor"
